year;facility_number;facility_name;begin_date;end_date;county_name;type_of_control;hours_type;productive_hours;productive_hours_per_adjusted_patient_day
2009;106010858;KAISER FOUNDATION HOSPITAL - HAYWARD;01/01/2009;12/31/2009;Alameda;Non-Profit;Administrative Services Cost Centers;1203374;18.97
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Management & Supervision;37185;1.9
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Technician & Specialist;62790;3.2
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Registered Nurse;99805;5.09
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Licensed Vocational Nurse;32905;1.68
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Aides & Orderlies;43588;2.22
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Clerical & Other Administrative;85623;4.37
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Environmental & Food Services;38099;1.94
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Other;0;0
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Contracted Registry Nursing;755;0.04
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Contracted Other;0;0
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Daily Cost Centers;199812;10.19
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Ambulatory Cost Centers;0;0
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Ancillary Cost Centers;69664;3.55
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Education Cost Centers;0;0
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;General Services Cost Centers;53193;2.71
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Fiscal Services Cost Centers;20383;1.04
2009;106010887;KINDRED HOSPITAL - SAN FRANCISCO BAY AREA;01/01/2009;12/31/2009;Alameda;Investor;Administrative Services Cost Centers;57698;2.94
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Management & Supervision;221276;2.08
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Technician & Specialist;659469;6.19
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Registered Nurse;931276;8.75
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Licensed Vocational Nurse;26788;0.25
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Aides & Orderlies;230554;2.17
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Clerical & Other Administrative;702592;6.6
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Environmental & Food Services;385821;3.62
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Other;81624;0.77
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Registry Nursing;129075;1.21
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Other;93946;0.88
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Daily Cost Centers;1049595;9.86
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Ambulatory Cost Centers;250936;2.36
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Ancillary Cost Centers;782211;7.35
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Education Cost Centers;353193;3.32
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;General Services Cost Centers;570964;5.36
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Fiscal Services Cost Centers;168209;1.58
2009;106010937;ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE;01/01/2009;12/31/2009;Alameda;Non-Profit;Administrative Services Cost Centers;250933;2.36
2009;106010967;ST. ROSE HOSPITAL;10/01/2008;09/30/2009;Alameda;Non-Profit;Management & Supervision;121499;2.33
2009;106010967;ST. ROSE HOSPITAL;10/01/2008;09/30/2009;Alameda;Non-Profit;Technician & Specialist;334406;6.41
2009;106010967;ST. ROSE HOSPITAL;10/01/2008;09/30/2009;Alameda;Non-Profit;Registered Nurse;507287;9.72
2009;106010967;ST. ROSE HOSPITAL;10/01/2008;09/30/2009;Alameda;Non-Profit;Licensed Vocational Nurse;26231;0.5
2009;106010967;ST. ROSE HOSPITAL;10/01/2008;09/30/2009;Alameda;Non-Profit;Aides & Orderlies;101311;1.94
2009;106010967;ST. ROSE HOSPITAL;10/01/2008;09/30/2009;Alameda;Non-Profit;Clerical & Other Administrative;256266;4.91
2009;106010967;ST. ROSE HOSPITAL;10/01/2008;09/30/2009;Alameda;Non-Profit;Environmental & Food Services;127511;2.44
2009;106010967;ST. ROSE HOSPITAL;10/01/2008;09/30/2009;Alameda;Non-Profit;Other;13037;0.25
